BRAND     , PRICES    ,  SAVES    , TITLES   , LINK    
ASUS, 21.731,23%, ASUS Radeon RX 5700 PCIe 4.0 VR Ready Graphics Card with 8GB GDDR6 Memory and Support for up to 6 Monitors (RX5700-8G), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ASUS,     2.881,0%, ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
ZOTAC, 36.379,0%, ZOTAC GAMING GeForce RTX 2080 SUPER Twin Fan 8GB GDDR6 256-bit 15.5 Gbps Gaming Graphics Card IceStorm 2.0 Spectra Lighting ZT-T20820F-10P, https://www.newegg.com/global/ph-en/ZOTAC/BrandStore/ID-12150
Sapphire Tech, 14.552,0%, SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
MSI, 22.368,0%, MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
Sapphire Tech,     8.192,0%, SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
EVGA, 12.111,0%, EVGA GeForce GTX 1660 SUPER BLACK GAMING Video Card 06G-P4-1061-KR 6GB GDDR6 Single Fan, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
MSI, 28.686,0%, MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
ASUS, 22.346,0%, ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G-MINI 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
EVGA, 29.819,0%, EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card OVERCLOCKED 2.75-Slot Extreme Cool Dual 70C Gaming RGB Metal Backplate 08G-P4-3175-KR 8GB 15.5 GHz GDDR6, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
Sapphire Tech, 14.552,0%, SAPPHIRE Radeon RX 5600 XT 11296-01-20G 6GB GDDR6 PCI Express 4.0 x16 Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
MSI, 38.354,0%, MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
EVGA, 38.635,0%, EVGA GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card 08G-P4-3183-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
ASUS,     8.617,0%, ASUS GeForce GTX 1650 SUPER Overclocked 4GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1650S-O4G), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
EVGA, 38.977,0%, EVGA GeForce RTX 2080 SUPER XC GAMING Video Card 08G-P4-3182-KR 8GB GDDR6 RGB LED Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
Sapphire Tech, 22.521,0%, SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
GIGABYTE, 11.118,0%, GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, https://www.newegg.com/global/ph-en/GIGABYTE/BrandStore/ID-1314
ASRock, 16.111,0%, ASRock Phantom Gaming D3 Radeon RX 5600 XT DirectX 12 RX5600XT PGD3 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/ASRock/BrandStore/ID-1944
EVGA, 15.412,23%, EVGA GeForce GTX 1660 Ti SC ULTRA GAMING 06G-P4-1667-KR 6GB GDDR6 Dual Fan Metal Backplate, https://www.newegg.com/global/ph-en/EVGA/BrandStore/ID-1402
Sapphire Tech, 21.881,0%, SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, https://www.newegg.com/global/ph-en/Sapphire-Tech/BrandStore/ID-1561
ASUS, 18.182,0%, ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO), https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
MSI, 19.781,0%, MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
PowerColor, 21.317,0%, PowerColor RED DRAGON Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHR/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card, https://www.newegg.com/global/ph-en/PowerColor/BrandStore/ID-1419
MSI, 11.532,0%, MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/MSI/BrandStore/ID-1312
ASUS, 23.453,0%, ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card, https://www.newegg.com/global/ph-en/ASUS/BrandStore/ID-1315
